Site,Name,Lat,Long,State,StartYear,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
2014,KIMBERLEY RES.STATION,-15.65,128.71,WA,19070101,800.4,615.1,672.4,1127.3,646.2,832.1,1028.8,790.1,699.6,1059.1,887,702.4,1042.3,769.9,657.1,1035.3,752.7,400.2,825.8,1001.9,722.5,597,642.1,649.7,607.2,669.1,466.5,552.2,587.8,712.7,593.3,684.8,648.5,843.5,481.3,1164,717.6,1088.8,780.2,872.3,791.7,489.8,907.1,1000,670.9,424.2,593.4,644.8,933.5,735.8,898,585.7,1448.6,1140.2,580.2,1146.8,758,538.9,477.7,826.4,654.6,1370.4,1073.2,430,744.4,607.3,914.1,1088,763,706.4,706.3,764.8,745.2,809.3,692.3,908,752.6,752.7,609.2,660.4,1018.1,784.4,700.5,472.1,655.2,493.3,766.3,866.6,1097,963.4,781.1,720.6,1286.2,1564.1,1484.7,738.1,729.8,760.6,833.8,1283.8,820.2,1348.2,1070.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,MARGARET RIVER,-18.63,126.86,WA,19140101,696.7,387.4,691,483.2,407.4,334.8,351.2,520.3,668,466.3,260.3,354.2,1090.2,532.3,457.9,113.1,375.6,222.6,334.4,242.4,580.1,269.7,190.2,416.9,281.6,351.6,263.4,709,432.3,445.6,427.4,226.7,252.6,452.4,335.1,485.4,472.2,361.1,254.6,437.3,365,461.1,644.7,552.1,202.1,348.4,525.6,184.3,468.6,597.8,205.4,332.4,314.3,634.4,622.2,423.6,296.8,455.6,198.5,588.4,753,586.4,425.3,471.3,641.6,391.6,487.2,517.5,908.4,796.1,572.7,309.6,505.2,562,258.9,186.8,243,769.5,160.5,708.9,227.4,720,595.6,573.8,515.4,597.3,1011.1,716.2,596.2,531.2,608.7,498,555.3,426.6,656.8,99999.9,451,816.9,99999.9,99999.9,99999.9,597.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,MOOLA BULLA,-18.19,127.5,WA,19110101,420.7,311.1,336.8,994.8,412.5,423.8,820.9,504.6,407.8,425,670,866.8,596.3,295.5,493.7,914.3,411.7,335.9,240,683.5,197.4,466.1,330.1,506.8,441.6,330.3,577.6,337.1,388.2,373.5,522.9,701.3,402.1,499.4,290.2,243.8,499.5,325.3,549.3,473.2,341.2,213,613.7,319.8,467.4,492.4,358.8,354.2,793.9,591.8,227.3,457.6,300.4,232.4,334.2,550.9,612.5,594.3,809.4,331.2,644.1,228.9,521.2,798.2,739.1,467,678.5,740.2,585.1,727,586.9,1022.7,580.3,583.5,305.7,707.8,697.4,500.7,265.5,529.8,710,224,1069,609,624.5,731.7,858.3,599.9,898.5,1115.6,955.7,536,514.7,99999.9,398.2,623.4,99999.9,683.4,455.5,99999.9,1279.8,593.3,659.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,MOUNT HOUSE STATION,-17.05,125.7,WA,19240101,435.4,748.8,997.2,767,876,454.1,536.6,581.7,697,544.5,762.7,520.5,391.5,590.9,543.2,606.9,753.3,782.6,915.6,1012.3,716.2,772.7,417.3,752.2,510.7,923.2,703.1,653.4,313.4,515.2,593.9,761,1126.7,950.6,507.1,708.2,910.6,576.7,793.1,985.1,530,470,518,791.4,1048.4,716.2,566.6,828.2,456.8,948.8,1262.4,561.3,962.4,376.4,1052.6,882.3,733.9,921.5,1000.3,1061.5,1278.3,470.9,1022.7,719.7,698.4,714.2,542,625.7,375.2,1177.9,883.5,1288.6,99999.9,915.7,99999.9,806.7,1252.7,698.3,931.2,547.4,911.7,762.2,1155.3,1001.8,854.4,804.8,99999.9,99999.9,99999.9,99999.9,823,740,931.2,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3023,ROEBUCK PLAINS,-17.93,122.47,WA,19030101,449,721.1,299.9,545.6,637.5,671.7,496.7,494.8,315.9,639.9,306.3,885.9,669.3,707.9,1582.4,550.5,496.9,862.4,355,594.7,377.1,118.5,655.6,1027.8,771.8,556.8,493.1,502.1,813.2,1213.9,466.7,735,592.5,346.9,502.8,340,586.2,918.4,424.7,1019.2,853.6,314.4,545.9,362.1,646.6,634.8,467.9,437.1,388.2,342.1,308.9,691.8,672.2,544.6,556.4,190.6,140,440.9,329.9,995.8,520,734.3,346,398.2,734.6,980.5,418,630.4,569.8,251.3,729,1455,446,893.3,408.2,1160.6,503.6,521.1,1281.6,1104.7,369.7,632.9,354.5,266.9,580.8,523,99999.9,207.4,862.3,244.9,882.7,557.2,602.8,631.6,1231.3,877.3,828.4,1266.5,742.2,542.2,673.7,973.8,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,FOSSIL DOWNS,-18.14,125.78,WA,19100101,381.6,413.6,426.3,479.2,848.6,514.9,592.2,654.5,752.5,365.8,430.6,376.1,495.1,552.4,328.7,430.2,702.7,716.1,412.2,220.9,467,232.9,389.5,283.7,627.2,354.6,325.5,525,358.1,481.8,345.7,430.4,581.3,572.3,439.3,368.5,333.2,374.2,442.3,584.8,496.8,464.8,117.2,301.8,498,407.4,505.8,575.2,236.6,346.8,403.6,276,672.2,545.6,129.8,363.7,295.5,727.3,563.9,675.7,391.2,579.9,242.9,691.9,976.2,519.5,667.8,264.1,927.8,473.4,537.3,622.7,819.1,579,1048.8,497,736.3,684.2,335.6,395.6,311.9,757,233.2,896.1,576,890,725.1,561.2,614.5,537.3,882.2,849.5,554.7,615.9,845.5,533.4,632.8,686.8,832.2,99999.9,670.5,1087.3,774,726.1,593.5,99999.9,837.2,735.2,537.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3028,ANNA PLAINS,-19.25,121.49,WA,19080101,542.1,278.4,258.1,296.9,455.6,299,351.1,449.5,360.6,497.6,191.7,361.1,211.2,352.1,293.4,328.7,17.6,401.8,598,719.2,239.7,324.1,286.7,328.4,217.8,186.4,823.8,463,348.2,363.2,466.3,276.6,555.6,357,802.7,540.6,72.5,175.3,162.4,419,389.3,338.5,252.4,211.7,130.9,185.6,398.7,522.4,399.8,281.6,128,178.9,398.2,272.8,422.3,525.5,778.5,298.3,352.1,317,581.7,335.5,256.8,416.6,111,348.2,651.8,148.5,354.6,177,611.6,331.2,793.5,945.1,946.6,475.6,473.5,337.6,187.8,345.7,411.4,429.5,138,301.2,86.8,780.7,410.5,746.3,426.6,769.3,600.8,732.1,1827.3,590.8,330.5,396.6,615.1,215.6,523.1,367.6,307,351.7,278.3,792.5,681.6,99999.9,99999.9,242.6,388.4,577.7,827.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,BIDYADANGA,-18.68,121.78,WA,18910101,66.6,325.2,474.4,526,320.1,746.3,523.9,969.6,659.6,389.1,643.2,690.7,343.4,430.6,241.1,639,573.3,435.4,398.2,400.5,332.4,610.4,295.5,594.1,569.9,481.6,521.4,716.8,433,336.8,410.7,420.2,438.4,55.9,518.4,1046.5,835.9,304.1,250.5,389.7,647.7,649.4,350.4,808.6,471.7,302.8,235.8,368,273.3,506.4,281.3,951.1,570,177.3,306.6,273.2,456.8,548.9,354.9,445.4,179.5,163.3,215,589.4,518.5,673.1,553.4,81.1,144.5,480.4,245.7,785.8,548.6,903.7,318.5,395.3,440.4,755.9,365.3,428.2,856.7,292.3,446.4,855,406.6,565.8,489.8,762.2,398.2,596.4,842,1048.5,646,685.8,436.1,213.2,293.3,588.8,369.9,199.6,784.8,196.6,716,704.7,538.9,419,924.4,527.8,856.1,1542.4,677.8,471.5,369.3,888.1,277.7,471.4,605.1,550.2,425.1,376.3,674.6,1021.8,741.1,431.2,368.3,704.1,575.7,848.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4006,BONNEY DOWNS,-22.18,119.93,WA,19070101,230.8,293.1,320.2,176.2,196,342.2,105.8,258.9,463.4,292.5,699.6,197.4,331.4,252.9,323.4,235,250,55.8,494,229.5,407.9,265.1,227.2,398,476.7,153.7,282.9,475.3,130.7,143.2,294.5,336.6,249.1,216.6,268.1,758.3,501.9,46.8,184.7,284.9,511.7,413.2,237.9,137,209.4,197.5,305.7,324.9,405,178.3,185.9,184.3,200.2,352.6,403.9,199.7,258.7,153.1,236.6,234.9,265.3,380.8,100.6,266,576.7,50.2,475.3,239.4,500.2,781,230.7,506.5,240.8,520.9,272.3,323,214.1,342.8,113.8,188.7,315.7,576.1,254.3,146.7,183,230,350,240.3,546.5,394.4,612.9,99999.9,623.6,823.9,397.1,789.1,99999.9,472,145,773.2,274.9,288,354.4,131.3,485.9,449.5,388.1,99999.9,366.3,357.9,595.4,303.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4035,ROEBOURNE,-20.78,117.15,WA,18870101,286.2,258.7,298.5,244.4,3.4,212.9,426.2,448.4,272.6,292.4,256.8,581.7,460.1,1059.9,211.7,279.7,224.6,255.4,161.6,239.5,417.2,260,286.7,321.8,127.2,256.2,250.1,115.3,370.1,426.7,420.3,360.8,148.8,169,577.8,90.1,425.8,9.4,132.2,403.8,128.4,283.4,446.6,306,363.6,127.2,402.2,833,183.9,52,256.9,84.8,368.3,215.2,189.7,650.3,481,52.8,550.5,606,308.9,390.2,173.6,193.2,278.5,253.2,96.2,513.5,429.4,529.4,199.8,563.6,80.6,418.9,600.5,187.7,656.3,173.2,156.3,575.3,408.3,426.3,99.5,307.6,500.3,95.6,626,342.4,279.4,291.7,195.2,315.6,116.3,357,363.7,218.7,51.8,320.6,202.6,162.9,99999.9,314.9,467.8,169.2,203.1,211.1,229.4,183,420,238.7,356.4,316.5,565.2,469,194.6,71.2,187.2,435.5,145.6,778.6,219.4,259.6,365.8,92.1,489.8,344.4,721.6,187.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
